Дата_Час,Процент,Фандинг,Прибиль,Доход,Комисия,Обєм,В-сделке,Тикер
2025-08-17 19:55,"2,70%","-1,74","1,08","3,07","0,25",112,1м1с,MYXUSDT
2025-08-18 00:03,"1,31%","-1,87","0,10","2,22","0,25",169,21с,MYXUSDT
2025-08-18 15:02,"2,08%","-2,53","0,59","3,49","0,37",166,3с,ALUUSDT
2025-08-18 23:00,"1,19%","-1,42","0,41","2,10","0,26",175,3с,CLANKERUSDT
2025-08-19 16:02,"1,64%","-2,11","0,48","2,83","0,23",171,47с,API3USDT
2025-08-26 19:04,"1,22%",—,"1,86","2,22","0,36",181,2с,SDUSDT
2025-08-27 15:01,"1,79%","-2,66","0,53","3,46","0,26",192,12с,NMRUSDT
2025-09-07 15:07,"0,21%",—,"0,12","0,42","0,31",204,6м5с,SAROSUSDT
2025-09-07 19:05,"1,77%","-2,99","0,36","3,65","0,31",204,4с,ALUUSDT
2025-09-10 12:01,"1,93%","-2,72","0,66","3,81","0,43",195,7с,MYXUSDT
2025-09-17 21:06,"1,80%","-3,10","0,065","3,45","0,29",190,5с,MYXUSDT
2025-09-17 22:14,"1,64%","-3,90","-1,05","3,20","0,35",193,10м36с,MYXUSDT
2025-09-22 15:03,"1,61%","-2,66","0,29","3,21","0,27",198,1м48с,MEUSDT
2025-10-01 19:01,"1,79%","-4,20","0,49","5,12","0,43",283,20с,MYXUSDT
2025-10-01 23:03,"2,27%","-6,04","0,34","6,82","0,45",298,1м52с,MYXUSDT
2025-10-02 13:15,"0,63%","-1,28","0,12","1,84","0,44",291,14м19с,MYXUSDT
2025-10-11 15:03,"1,12%","-1,70","0,34","2,33","0,28",206,1м46с,GODSUSDT
2025-10-11 19:01,"1,43%","-1,93","0,79","3,00","0,28",208,11с,XIONUSDT
2025-10-13 23:19,"-1,97%","-1,93","-6,62","-4,26","0,44",218,19м6с,ALPHAUSDT
2025-10-14 15:01,"1,15%","1,51","3,04","1,74","0,21",152,11с,EULUSDT
2025-10-14 19:01,"0,43%","2,80","3,19","0,78","0,40",183,1м22с,BSUUSDT
2025-10-17 19:01,"1,79%","-3,73","-0,70","3,31","0,28",183,6с,COAIUSDT
